user_id,stargazers_count,watchers_count,repo_id,language,forks_count,open_issues
5,33,33,27148,Ruby,3,0
5,1,1,1103712,Ruby,1,0
5,6,6,5226605,C++,3,0
5,2,2,1363875,Perl,1,0
5,4,4,14497,Ruby,1,0
5,735,735,5964,Ruby,64,13
5,1,1,1099441,Ruby,1,0
5,39,39,112754,C,19,2
5,66,66,455782,Ruby,1,0
5,8,8,156717,C,1,1
5,28,28,3717526,Ruby,10,3
5,146,146,1357116,C,10,1
5,1,1,1740408,Ruby,1,0
5,3,3,1742412,Ruby,2,0
6,0,0,571868522,C++,0,0
6,0,0,18482177,JavaScript,1,0
6,0,0,569498508,JavaScript,0,0
6,3,3,101022,JavaScript,0,0
6,8,8,9051,Ruby,2,1
6,2,2,908817,Clojure,0,0
6,3,3,1589365,Ruby,0,4
6,3,3,84563,Emacs Lisp,0,0
6,10,10,107843,Ruby,1,0
6,6,6,476881,Ruby,1,0
6,1,1,28249028,Go,0,0
6,1,1,30257818,Go,0,0
6,2,2,101053,HTML,0,0
6,0,0,19830216,Ruby,0,0
6,2,2,26422518,Go,0,0
6,0,0,567842828,HTML,0,0
6,0,0,106068074,Java,0,0
6,3,3,82857,Ruby,0,0
6,2,2,14545,Ruby,0,0
6,2,2,25317,Ruby,0,0
6,6,6,15080,Ruby,4,0
6,7,7,15083,Ruby,4,0
6,4,4,86173,Ruby,0,0
6,0,0,569092225,Python,0,0
6,2,2,3614036,Ruby,0,0
6,1,1,1080592,Ruby,0,0
6,0,0,19288432,C++,0,3
6,13,13,898880,Ruby,1,0
6,0,0,303810548,JavaScript,1,0
7,1,1,11374954,JavaScript,0,0
7,84,84,53301806,Go,13,2
7,1,1,36110636,Go,1,0
7,1,1,120141244,Go,0,0
7,1718,1718,3814699,Ruby,97,5
7,9,9,56174118,Ruby,6,5
7,44,44,1574968,Ruby,9,2
7,0,0,153561785,Go,0,0
7,1,1,56890691,HTML,1,0
7,1,1,27151251,Go,1,0
7,2,2,1963084,Ruby,0,0
7,2,2,453662,Ruby,1,0
7,3,3,1141863,Ruby,1,0
7,1,1,50541962,JavaScript,0,0
7,9,9,170611800,WebAssembly,1,0
7,2,2,1852983,C,1,0
7,24,24,4219286,Ruby,3,0
7,1,1,12006301,Go,0,0
7,0,0,123542493,Go,0,0
7,1,1,12228164,Go,1,0
7,1,1,42219753,CSS,1,0
